Data,Hora,Temperatura,"Incidência Solar",Humidade,Precipitação,"Ponto de Orvalho","Sensação Térmica"
2021-03-04,02:00:03,6.544678,0,95.800003,0,5.921896,34.156149
2021-03-04,02:10:03,6.394287,0,95.800003,0,5.772255,34.69328
2021-03-04,02:20:04,6.195557,0,95.699997,0,5.559434,35.493909
2021-03-04,02:30:03,6.133789,0,96,0,5.543152,35.482084
2021-03-04,02:40:03,6.125732,0,96,0,5.535133,35.511752
2021-03-04,02:50:03,6.074707,0,95.800003,0,5.454265,35.859719
2021-03-04,03:00:03,5.986084,0,95.900002,0,5.381121,36.109456
2021-03-04,03:10:03,5.945801,0,95.900002,0,5.341033,36.260048
2021-03-04,03:20:04,5.870605,0,96,0,5.281213,36.462468
2021-03-04,03:30:03,5.945801,0,96,0,5.356053,36.179998
2021-03-04,03:40:03,5.706787,0,96,0,5.118169,37.084389
2021-03-04,03:50:03,6.018311,0,96,0,5.42822,35.909404
2021-03-04,04:00:03,5.921631,0,96.099998,0,5.347001,36.190263
2021-03-04,04:10:03,5.618164,0,96.099998,0,5.044932,37.343924
2021-03-04,04:20:03,5.784668,0,96.099998,0,5.210669,36.70713
2021-03-04,04:30:03,5.86792,0,96.199997,0,5.30852,36.31158
2021-03-04,04:40:03,5.792725,0,96.099998,0,5.218688,36.676552
2021-03-04,04:50:03,5.744385,0,96.099998,0,5.170571,36.860343
2021-03-04,05:00:04,5.733643,0,96.199997,0,5.174845,36.820515
2021-03-04,05:10:03,5.693359,0,96.099998,0,5.119781,37.055192
2021-03-04,05:20:03,5.508057,0,96.099998,0,4.935331,37.770121
2021-03-04,05:30:03,5.623535,0,96.099998,0,5.050278,37.323237
2021-03-04,05:40:04,5.542969,0,96.199997,0,4.985026,37.553568
2021-03-04,05:50:03,5.454346,0,96.199997,0,4.896801,37.898424
2021-03-04,06:00:04,5.556397,0,96.199997,0,4.998394,37.501546
2021-03-04,06:10:03,5.647705,0,96.099998,0,5.074337,37.230268
2021-03-04,06:20:04,5.430176,9.73913,96.199997,0,4.872739,37.992932
2021-03-04,06:30:04,5.35498,239.869565,96.099998,0,4.782959,38.369373
2021-03-04,06:40:03,5.282471,456.76087,96.099998,0,4.710783,38.655963
2021-03-04,06:50:03,5.42749,913.456522,96.300003,0,4.884983,37.922092
2021-03-04,07:00:03,5.545654,1070.804348,96.300003,0,5.002631,37.461927
2021-03-04,07:10:03,5.690674,1235.130435,96.400002,0,5.161952,36.822251
2021-03-04,07:20:03,6.184814,1780.434783,96.199997,0,5.623991,35.134416
2021-03-04,07:30:03,23.111816,1780.434783,96.199997,0,22.472349,21.091913
2021-03-04,07:40:03,49.865234,1780.434783,95.699997,0,48.987144,193.100907
2021-03-04,08:00:03,50.673584,1780.434783,95.099998,0,49.664739,200.363001
2021-03-04,08:10:03,54.65625,1780.434783,94.599998,0,53.511598,245.383247
2021-03-04,08:20:03,59.535888,1780.434783,93.599998,0,58.128188,305.216069
2021-03-04,08:30:03,67.52002,1780.434783,93.400002,0,65.989534,424.199088
2021-03-04,08:40:03,68.277344,1780.434783,91.699997,0,66.328244,426.935045
2021-03-04,08:50:03,75.4021,1780.434783,90.5,0,73.055386,542.009752
2021-03-04,09:00:03,69.824219,1780.434783,90.800003,0,67.63327,447.019481
2021-03-04,09:20:03,70.737305,1780.434783,90,0,68.333074,457.332659
2021-03-04,09:30:03,75.488037,1780.434783,88.699997,0,72.671682,530.75389
2021-03-04,09:40:03,73.938477,1780.434783,87.400002,0,70.809292,494.695532
2021-03-04,09:50:03,75.289307,1780.434783,85.199997,0,71.543176,502.759551
2021-03-04,10:00:03,77.400146,1780.434783,85,0,73.549454,537.908502
2021-03-04,10:10:03,71.435547,1780.434783,84.800003,0,67.672882,436.902351
2021-03-04,10:20:03,71.279785,1780.434783,86.800003,0,68.046825,446.631361
2021-03-04,10:30:03,69.773193,1780.434783,88.400002,0,66.980465,431.984517
2021-03-04,10:40:03,69.123291,1780.434783,88.800003,0,66.443063,423.935683
